"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","Red Bull","null","66","29","29","77%","-","1","63","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","McLaren","null","39","24","24","99%","-","1","63","1","1","0","0","2","1","0","3","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","Ferrari","null","47","21","21","75%","-","1","63","1","1","0","0","3","1","0","4","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","Mercedes","null","19","16","16","78%","-","1","63","1","1","0","0","6","2","0","8","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","Aston Martin","null","7","14","14","70%","-","1","63","1","1","0","0","9","4","0","13","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","Ferrari","null","40","11","11","69%","-","1","63","1","0","0","0","5","0","0","5","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","Haas F1","null","16","11","11","65%","-","1","62","1","0","0","0","12","6","0","18","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","Red Bull","null","44","11","11","33%","-","1","63","1","0","0","0","8","3","0","11","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","Williams","null","8","10","10","57%","-","1","62","1","1","0","0","17","3","0","20","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","McLaren","null","26","9","9","98%","-","1","63","1","0","0","0","4","0","2","2","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","Kick Sauber","null","22","8","8","36%","-","1","62","1","1","0","0","15","2","0","17","0","0","0","0","0","0","0"
"*060l1*","George Russell","Mercedes","null","27","5","5","81%","-","1","63","1","0","0","0","7","0","1","6","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","Haas F1","null","13","2","2","90%","-","1","62","1","1","0","0","11","0","1","10","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","Aston Martin","null","20","1","1","72%","-","1","62","1","0","0","0","19","0","0","19","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","Alpine","null","14","0","0","81%","-","1","62","1","1","0","0","14","0","2","12","0","0","0","0","0","0","0"
"*06igo*","Ryo Hirakawa","McLaren","null","5","0","0","8%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igp*","Pato O'Ward","McLaren","null","5","0","0","8%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ign*","Theo Pourchaire","Kick Sauber","null","5","0","0","8%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","Aston Martin","null","10","0","0","5%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","Mercedes","null","10","0","0","4%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fuu*","Liam Lawson","RB","null","10","0","0","1%","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","RB","null","11","-1","-1","93%","-","1","62","1","1","0","0","10","0","3","7","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","Alpine","null","9","-1","-1","54%","-","1","62","1","0","0","0","16","0","1","15","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","Kick Sauber","null","3","-3","-3","57%","-","1","62","1","0","0","0","18","0","2","16","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","RB","null","6","-7","-7","90%","-","1","62","1","0","0","0","13","0","4","9","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","Williams","null","4","-20","-20","85%","-","1","51","0","0","1","0","20","0","6","14","0","0","0","0","0","0","0"
