"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060n1*","Oscar Piastri","McLaren","null","45","31","31","90%","0%","1","51","1","1","0","0","1","1","0","2","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","McLaren","null","48","23","23","89%","-7.4%","1","51","1","0","0","0","4","12","0","16","0","0","0","0","0","0","0"
"*060l1*","George Russell","Mercedes","null","27","23","23","78%","-2.5%","1","51","1","1","0","0","3","2","0","5","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","Ferrari","null","47","20","20","86%","+3.7%","1","51","1","1","0","0","2","0","1","1","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","Aston Martin","null","15","16","16","90%","+1.2%","1","51","1","1","0","0","6","2","0","8","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","Williams","null","4","16","16","80%","+3.7%","1","51","1","1","0","0","7","3","0","10","0","0","0","0","0","0","0"
"*060ko*","Max Verstappen","Red Bull","null","58","16","16","76%","+5.1%","1","51","1","1","0","0","5","1","0","6","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","Kick Sauber","null","16","12","12","42%","+1.2%","1","51","1","1","0","0","14","4","0","18","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","Alpine","null","12","9","9","58%","+7.4%","1","50","1","0","0","0","15","4","0","19","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","RB","null","9","8","8","80%","-8.6%","1","51","1","1","0","0","13","2","0","15","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","Haas F1","null","11","5","5","81%","-3.7%","1","51","1","0","0","0","11","2","0","13","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","Kick Sauber","null","7","3","3","42%","-4.9%","1","50","1","0","0","0","16","1","0","17","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","Haas F1","null","13","0","0","44%","-6.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","Williams","null","5","0","0","15%","-12.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","Mercedes","null","10","0","0","7%","+2.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igo*","Ryo Hirakawa","McLaren","null","5","0","0","5%","+1.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ign*","Theo Pourchaire","Kick Sauber","null","5","0","0","5%","-1.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","Aston Martin","null","10","0","0","5%","+2.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igp*","Pato OWard","McLaren","null","5","0","0","4%","-5.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fuu*","Liam Lawson","RB","null","10","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","Mercedes","null","38","-1","-1","84%","-6.2%","1","51","1","0","0","0","9","0","2","7","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","Aston Martin","null","8","-9","-9","81%","+23.5%","1","45","1","0","0","0","19","0","5","14","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","Red Bull","null","25","-9","-9","79%","+34.6%","1","49","1","0","0","0","17","0","13","4","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","Ferrari","null","39","-9","-9","67%","-2.5%","1","49","1","0","0","0","18","0","15","3","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","Alpine","null","6","-16","-16","65%","-18.5%","1","51","1","1","0","1","20","0","0","0","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","RB","null","3","-20","-20","74%","+1.2%","1","14","0","0","1","0","20","0","8","12","0","0","0","0","0","0","0"
