"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","Red Bull","null","63","29","29","80%","-7.8%","1","53","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","Ferrari","null","42","21","21","73%","-25.3%","1","53","1","0","0","0","4","4","0","8","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","Ferrari","null","45","21","21","69%","-25.1%","1","53","1","1","0","0","3","1","0","4","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","Red Bull","null","50","19","19","55%","-3.4%","1","53","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0"
"*060l1*","George Russell","Mercedes","null","26","14","14","85%","-8%","1","53","1","1","0","0","7","2","0","9","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","Haas F1","null","17","11","11","80%","-14.5%","1","52","1","0","0","0","13","5","0","18","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","McLaren","null","31","10","10","99%","+5.6%","1","53","1","1","0","0","5","0","2","3","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","Aston Martin","null","25","10","10","88%","+19.4%","1","53","1","1","0","0","6","0","1","5","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","Aston Martin","null","11","9","9","89%","+15%","1","52","1","0","0","0","12","4","0","16","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","Williams","null","6","8","8","31%","-0.7%","1","52","1","1","0","0","17","2","0","19","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","Haas F1","null","15","6","6","93%","+2.8%","1","52","1","1","0","0","11","1","0","12","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","RB","null","9","5","5","95%","+8.3%","1","52","1","1","0","0","10","0","0","10","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","Alpine","null","13","4","4","69%","-18.5%","1","52","1","1","0","0","15","0","0","15","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","Alpine","null","8","3","3","56%","+9.6%","1","52","1","0","0","0","16","1","0","17","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","Kick Sauber","null","4","2","2","69%","-4.9%","1","52","1","1","0","0","14","0","1","13","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","McLaren","null","28","1","1","97%","+9.5%","1","53","1","0","0","0","8","0","2","6","0","0","0","0","0","0","0"
"*06igp*","Pato O'Ward","McLaren","null","5","0","0","10%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igo*","Ryo Hirakawa","McLaren","null","5","0","0","8%","-1.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","Mercedes","null","10","0","0","8%","-3.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ign*","Theo Pourchaire","Kick Sauber","null","5","0","0","6%","-3.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fuu*","Liam Lawson","RB","null","10","0","0","3%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","Aston Martin","null","10","0","0","1%","-2.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","Mercedes","null","18","-1","-1","81%","+16.7%","1","53","1","0","0","0","9","0","2","7","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","Kick Sauber","null","14","-6","-6","36%","-32.3%","1","12","0","0","1","0","18","2","0","20","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","Williams","null","3","-20","-20","81%","-9.9%","1","0","0","0","1","0","20","0","6","14","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","RB","null","7","-20","-20","79%","-3%","1","0","0","0","1","0","19","0","8","11","0","0","0","0","0","0","0"
