"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060kr*","Charles Leclerc","Ferrari","null","52","42","21","-","-","2","75","1","1","0","0","1","3","0","4","1","0","0","0","4","0","1"
"*060kt*","Carlos Sainz","Ferrari","null","42","36","18","-","-","2","75","1","0","0","0","2","1","0","3","1","1","0","0","2","3","0"
"*060ko*","Max Verstappen","Red Bull","null","60","30","15","-","-","2","75","1","1","0","0","3","0","1","2","1","1","0","0","1","0","0"
"*060ks*","Lando Norris","McLaren","null","51","22","11","-","-","2","75","1","1","0","0","4","0","3","1","1","1","0","0","3","1","0"
"*060n7*","Nico Hulkenberg","Haas F1","null","13","18","9","-","-","2","75","1","1","0","0","8","4","0","12","1","0","0","0","8","0","2"
"*060kq*","Sergio Perez","Red Bull","null","27","18","9","-","-","2","75","1","0","0","0","7","3","0","10","1","0","0","0","9","2","0"
"*060n1*","Oscar Piastri","McLaren","null","47","18","9","-","-","2","75","1","0","0","0","5","0","0","5","1","0","0","0","10","6","0"
"*060l1*","George Russell","Mercedes","null","30","18","9","-","-","2","75","1","1","0","0","6","0","0","6","1","1","0","0","5","0","3"
"*06fuu*","Liam Lawson","RB","null","18","16","8","-","-","2","75","1","1","0","0","9","6","0","15","1","0","0","0","16","0","1"
"*060l5*","Zhou Guanyu","Kick Sauber","null","17","7","3.5","-","-","2","74","1","0","0","0","19","1","0","20","1","1","0","0","19","1","0"
"*060kp*","Valtteri Bottas","Kick Sauber","null","7","6","3","-","-","2","74","1","1","0","0","17","1","0","18","1","0","0","0","20","0","1"
"*060mt*","Kevin Magnussen","Haas F1","null","11","5","2.5","-","-","2","75","1","0","0","0","11","0","2","9","1","1","0","0","7","1","0"
"*060l4*","Alexander Albon","Williams","null","3","3","1.5","-","-","2","74","1","0","0","0","16","0","0","16","1","0","0","0","17","1","0"
"*060kz*","Lance Stroll","Aston Martin","null","8","2","1","-","-","2","74","1","0","0","0","15","0","1","14","1","1","0","0","13","0","0"
"*06ah1*","Felipe Drugovich","Aston Martin","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igo*","Ryo Hirakawa","McLaren","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igp*","Pato O'Ward","McLaren","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ign*","Theo Pourchaire","Kick Sauber","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","Williams","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","Mercedes","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","RB","null","4","-4","-2","-","-","2","74","1","0","0","0","14","0","3","11","1","1","0","0","11","0","2"
"*060kv*","Pierre Gasly","Alpine","null","6","-5","-2.5","-","-","2","75","1","1","0","0","12","0","5","7","1","1","0","0","14","0","2"
"*060kn*","Lewis Hamilton","Mercedes","null","36","-5","-2.5","-","-","2","20","0","0","1","0","20","0","1","19","1","0","0","0","6","1","0"
"*060kx*","Esteban Ocon","Alpine","null","12","-6","-3","-","-","2","74","1","0","0","0","18","0","5","13","1","0","0","0","15","2","0"
"*060kw*","Fernando Alonso","Aston Martin","null","14","-9","-4.5","-","-","2","74","1","1","0","0","13","0","5","8","1","0","0","0","18","0","4"
