"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","Red Bull","null","64","31","31","76%","+0.8%","1","70","1","1","0","0","1","1","0","2","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","McLaren","null","45","24","24","76%","+2.2%","1","70","1","1","0","0","2","1","0","3","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","Mercedes","null","21","19","19","95%","+1.2%","1","70","1","0","0","0","4","3","0","7","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","Alpine","null","16","16","16","78%","+5.9%","1","70","1","1","0","0","9","6","0","15","0","0","0","0","0","0","0"
"*060l1*","George Russell","Mercedes","null","31","15","15","94%","+12.3%","1","70","1","1","0","0","3","0","2","1","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","Haas F1","null","11","14","14","85%","-5.1%","1","70","1","1","0","0","11","8","0","19","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","Aston Martin","null","20","12","12","76%","+5.9%","1","70","1","1","0","0","6","0","0","6","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","Alpine","null","14","12","12","52%","+2%","1","70","1","0","0","0","10","8","0","18","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","Kick Sauber","null","7","12","12","48%","-8.1%","1","70","1","1","0","0","13","4","0","17","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","Aston Martin","null","9","11","11","88%","-1.4%","1","70","1","0","0","0","7","2","0","9","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","Kick Sauber","null","22","11","11","31%","-0.7%","1","69","1","0","0","0","15","5","0","20","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","McLaren","null","29","9","9","98%","0%","1","70","1","0","0","0","5","0","1","4","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","Haas F1","null","13","5","5","72%","+26.9%","1","70","1","0","0","0","12","2","0","14","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","RB","null","4","2","2","79%","-1.6%","1","70","1","1","0","0","8","0","3","5","0","0","0","0","0","0","0"
"*06igp*","Pato O'Ward","McLaren","null","5","0","0","9%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","Mercedes","null","10","0","0","9%","+1.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igo*","Ryo Hirakawa","McLaren","null","5","0","0","8%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ign*","Theo Pourchaire","Kick Sauber","null","5","0","0","7%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","Aston Martin","null","10","0","0","3%","-2.6%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fuu*","Liam Lawson","RB","null","10","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","RB","null","12","-9","-9","92%","-0.1%","1","70","1","0","0","0","14","0","6","8","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","Red Bull","null","35","-14","-14","34%","+5.3%","1","51","0","0","1","0","18","0","2","16","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","Ferrari","null","38","-15","-15","56%","+11.9%","1","52","0","1","1","0","16","0","4","12","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","Williams","null","3","-17","-17","82%","-1.4%","1","52","0","1","1","0","17","0","7","10","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","Ferrari","null","46","-20","-20","69%","-27.5%","1","40","0","0","1","0","19","0","8","11","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","Williams","null","6","-20","-20","31%","-8.2%","1","23","0","0","1","0","20","0","7","13","0","0","0","0","0","0","0"
