"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060l4*","Alexander Albon","Williams","null","12","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","Aston Martin","null","36","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","Mercedes","null","39","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","Ferrari","null","22","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","McLaren","null","33","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","McLaren","null","13","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","RB","null","15","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ko*","Max Verstappen","Red Bull","null","63","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l1*","George Russell","Mercedes","null","29","0","0","93%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","Red Bull","null","45","0","0","92%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","Kick Sauber","null","8","0","0","86%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","Ferrari","null","32","0","0","86%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","Haas F1","null","3","0","0","85%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","RB","null","11","0","0","79%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","Alpine","null","9","0","0","71%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","Williams","null","4","0","0","71%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","Aston Martin","null","21","0","0","71%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","Alpine","null","20","0","0","64%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","Haas F1","null","6","0","0","64%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","Mercedes","null","10","0","0","45%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","Kick Sauber","null","16","0","0","43%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ign*","Theo Pourchaire","Kick Sauber","null","5","0","0","27%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fuu*","Liam Lawson","RB","null","10","0","0","25%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igo*","Ryo Hirakawa","McLaren","null","5","0","0","18%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06igp*","Pato O'Ward","McLaren","null","5","0","0","18%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","Aston Martin","null","10","0","0","9%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
