"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ks*","Lando Norris","null","null","38","43","21.5","-","-","2","95","1","1","0","0","2","5","0","7","1","1","0","0","2","0","1"
"*060ko*","Max Verstappen","null","null","68","43","21.5","-","-","2","95","1","1","0","0","1","0","0","1","1","1","0","0","1","1","0"
"*060kq*","Sergio Perez","null","null","46","32","16","-","-","2","95","1","0","0","0","4","5","0","9","1","0","0","0","3","0","0"
"*060kw*","Fernando Alonso","null","null","39","28","14","-","-","2","95","1","1","0","0","3","1","0","4","1","1","0","0","11","4","0"
"*060l0*","Yuki Tsunoda","null","null","11","24","12","-","-","2","95","1","1","0","0","9","7","0","16","1","1","0","0","6","0","0"
"*060kv*","Pierre Gasly","null","null","22","23","11.5","-","-","2","95","1","1","0","0","7","6","0","13","1","1","0","0","13","0","0"
"*060kt*","Carlos Sainz","null","null","32","21","10.5","-","-","2","95","1","1","0","0","6","2","0","8","1","0","0","0","8","1","0"
"*06806*","Logan Sargeant","null","null","6","15","7.5","-","-","2","94","1","1","0","0","11","8","0","19","1","0","0","0","20","0","0"
"*060kz*","Lance Stroll","null","null","17","13","6.5","-","-","2","95","1","0","0","0","5","0","2","3","1","0","0","0","12","5","0"
"*060ku*","Daniel Ricciardo","null","null","15","11","5.5","-","-","2","94","1","0","0","0","13","4","0","17","1","0","0","0","9","0","1"
"*060kx*","Esteban Ocon","null","null","7","9","4.5","-","-","2","94","1","0","0","0","10","2","0","12","1","0","0","0","14","2","0"
"*060kn*","Lewis Hamilton","null","null","42","5","2.5","-","-","2","95","1","1","0","0","8","0","3","5","1","0","0","0","7","0","2"
"*06ah1*","Felipe Drugovich","null","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","12","0","0","-","-","2","46","0","0","1","0","17","3","0","20","1","1","0","0","17","1","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","3","-2","-1","-","-","2","94","1","1","0","0","12","0","1","11","1","0","0","0","18","0","6"
"*060n1*","Oscar Piastri","null","null","14","-5","-2.5","-","-","2","93","1","0","0","0","14","0","4","10","1","0","0","0","10","0","0"
"*060kp*","Valtteri Bottas","null","null","9","-7","-3.5","-","-","2","63","0","1","1","0","16","2","0","18","1","0","0","0","19","0","5"
"*060kr*","Charles Leclerc","null","null","21","-9","-4.5","-","-","2","24","0","0","1","0","19","0","17","2","1","1","0","0","5","2","0"
"*060l1*","George Russell","null","null","31","-10","-5","-","-","2","81","0","0","1","0","15","0","9","6","1","1","0","0","4","0","0"
"*060l4*","Alexander Albon","null","null","16","-13","-6.5","-","-","2","24","0","0","1","0","20","0","5","15","1","1","0","0","15","4","0"
"*060mt*","Kevin Magnussen","null","null","4","-20","-10","-","-","2","24","0","0","1","0","18","0","4","14","1","1","0","0","16","0","5"
