"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","57","29","29","98%","+3.9%","1","66","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","39","28","28","58%","+4.6%","1","66","1","1","0","0","2","3","0","5","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","32","26","26","82%","+0.8%","1","66","1","0","0","0","3","9","0","12","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","49","23","23","73%","-8.5%","1","66","1","0","0","0","4","7","0","11","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","12","14","14","64%","+12.4%","1","66","1","1","0","0","9","4","0","13","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","17","12","12","89%","+7.7%","1","66","1","1","0","0","6","0","0","6","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","43","11","11","80%","-7.7%","1","66","1","0","0","0","7","2","0","9","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","27","11","11","75%","-3.1%","1","66","1","0","0","0","11","8","0","19","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","21","10","10","72%","-0.8%","1","66","1","1","0","0","12","3","0","15","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","28","8","8","95%","+2.3%","1","66","1","1","0","0","5","0","3","2","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","6","8","8","75%","-2.3%","1","65","1","1","0","0","16","2","0","18","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","13","6","6","68%","-9.2%","1","66","1","1","0","0","8","0","1","7","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","3","1","1","52%","+5.4%","1","65","1","0","0","0","20","0","0","20","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","8","1","1","47%","+8.5%","1","65","1","0","0","0","14","0","0","14","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","9%","-3.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","4%","+0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","3%","-0.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","2%","+1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","16","-1","-1","64%","+0.8%","1","65","1","0","0","0","18","0","1","17","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","4","-2","-2","68%","+14.6%","1","65","1","1","0","0","13","0","3","10","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","9","-5","-5","70%","-11.5%","1","65","1","0","0","0","19","0","3","16","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","7","-6","-6","72%","+15.4%","1","65","1","1","0","0","15","0","7","8","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","25","-8","-8","61%","+7.7%","1","66","1","0","0","0","10","0","6","4","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","11","-9","-9","77%","+7.7%","1","65","1","0","0","0","17","0","14","3","0","0","0","0","0","0","0"
