"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","53","29","29","93%","-4.6%","1","58","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","34","24","24","78%","+11.5%","1","58","1","1","0","0","2","1","0","3","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","11","22","22","69%","0%","1","58","1","1","0","0","6","7","0","13","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","40","21","21","94%","-1.2%","1","58","1","0","0","0","5","15","0","20","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","36","21","21","92%","-8%","1","58","1","1","0","0","3","1","0","4","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","14","17","17","95%","-2.3%","1","58","1","0","0","0","4","2","0","6","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","4","16","16","83%","+19.5%","1","58","1","1","0","0","7","3","0","10","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","8","16","16","63%","-11.6%","1","58","1","1","0","0","9","8","0","17","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","3","15","15","55%","-4.6%","1","58","1","0","0","0","8","8","0","16","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","13","11","11","84%","-10.3%","1","58","1","0","0","0","11","8","0","19","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","18","9","9","72%","-8%","1","58","1","1","0","0","10","2","0","12","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","12","8","8","68%","+11.5%","1","56","1","1","0","0","16","2","0","18","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","9","1","1","59%","-3.5%","1","56","1","0","0","0","15","0","0","15","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","22%","+1.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","9%","+5.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","5%","-3.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","3%","-1.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","21","-4","-4","63%","-3.5%","1","56","1","1","0","0","13","0","4","9","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","7","-5","-5","77%","+24.1%","1","56","1","0","0","0","14","0","3","11","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","16","-5","-5","74%","-3.5%","1","52","1","0","0","0","17","0","3","14","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","31","-6","-6","82%","-6.9%","1","58","1","1","0","0","12","0","7","5","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","6","-20","-20","95%","+1.2%","1","6","0","0","1","0","19","0","11","8","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","28","-20","-20","94%","+12.6%","1","17","0","0","1","0","18","0","16","2","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","29","-20","-20","79%","+12.6%","1","0","0","0","1","0","20","0","13","7","0","0","0","0","0","0","0"
