"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","61","42","21","-","-","2","55","1","1","0","0","1","0","0","1","1","1","0","0","1","0","0"
"*060kn*","Lewis Hamilton","null","null","43","23","11.5","-","-","2","55","1","1","0","0","4","0","0","4","1","1","0","0","7","0","0"
"*060kr*","Charles Leclerc","null","null","31","23","11.5","-","-","2","55","1","1","0","0","3","0","1","2","1","0","0","0","5","0","1"
"*060kx*","Esteban Ocon","null","null","11","21","10.5","-","-","2","55","1","1","0","0","8","7","0","15","1","0","0","0","9","0","0"
"*060l1*","George Russell","null","null","33","19","9.5","-","-","2","55","1","0","0","0","6","2","0","8","1","0","0","0","8","2","0"
"*060kv*","Pierre Gasly","null","null","17","17","8.5","-","-","2","55","1","0","0","0","11","1","0","12","1","1","0","0","3","3","0"
"*060kp*","Valtteri Bottas","null","null","12","15","7.5","-","-","2","55","1","1","0","0","12","2","0","14","1","1","0","0","13","4","0"
"*060ks*","Lando Norris","null","null","25","15","7.5","-","-","2","55","1","1","0","0","7","0","0","7","1","0","0","0","6","0","1"
"*060l5*","Zhou Guanyu","null","null","16","14","7","-","-","2","55","1","0","0","0","13","4","0","17","1","0","0","0","15","4","0"
"*060kw*","Fernando Alonso","null","null","42","12","6","-","-","2","46","1","1","0","0","5","4","0","9","0","0","1","0","20","0","5"
"*060ku*","Daniel Ricciardo","null","null","18","12","6","-","-","2","55","1","0","0","0","16","3","0","19","1","1","0","0","10","1","0"
"*060l4*","Alexander Albon","null","null","13","11","5.5","-","-","2","55","1","1","0","0","14","2","0","16","1","1","0","0","12","0","0"
"*060kq*","Sergio Perez","null","null","49","11","5.5","-","-","2","52","1","0","0","0","2","1","0","3","0","0","1","0","19","0","11"
"*060kz*","Lance Stroll","null","null","22","11","5.5","-","-","2","55","1","0","0","0","9","1","0","10","1","1","0","0","11","3","0"
"*060n7*","Nico Hulkenberg","null","null","3","9","4.5","-","-","2","55","1","0","0","0","18","2","0","20","1","0","0","0","17","3","0"
"*060mt*","Kevin Magnussen","null","null","4","7","3.5","-","-","2","55","1","1","0","0","15","0","2","13","1","1","0","0","14","4","0"
"*060l0*","Yuki Tsunoda","null","null","14","6","3","-","-","2","55","1","1","0","0","10","1","0","11","1","0","0","0","18","0","2"
"*06806*","Logan Sargeant","null","null","6","1","0.5","-","-","2","55","1","0","0","0","17","1","0","18","1","0","0","0","16","0","3"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","7","-8","-4","-","-","2","11","0","0","1","0","20","0","14","6","1","1","0","0","2","0","0"
"*060kt*","Carlos Sainz","null","null","26","-11","-5.5","-","-","2","34","0","0","1","0","19","0","14","5","1","1","0","0","4","0","1"
