"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","60","31","31","94%","-0.7%","1","70","1","1","0","0","1","1","0","2","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","48","26","26","76%","-2.9%","1","70","1","0","0","0","3","6","0","9","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","22","24","24","96%","+10.8%","1","70","1","1","0","0","2","1","0","3","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","32","19","19","89%","+4.3%","1","70","1","0","0","0","6","12","0","18","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","11","14","14","88%","-4.3%","1","69","1","1","0","0","11","5","0","16","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","29","11","11","77%","-14.4%","1","70","1","0","0","0","8","3","0","11","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","41","10","10","73%","+9.3%","1","70","1","1","0","0","4","0","3","1","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","19","10","10","73%","-7.2%","1","69","1","0","0","0","10","4","0","14","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","8","9","9","95%","+21.6%","1","70","1","0","0","0","5","0","1","4","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","30","8","8","70%","-2.2%","1","70","1","1","0","0","7","0","1","6","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","14","5","5","81%","+14.4%","1","69","1","0","0","0","15","2","0","17","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","4","5","5","68%","+4.3%","1","69","1","0","0","0","17","2","0","19","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","7","5","5","55%","+0.7%","1","67","1","0","0","0","18","2","0","20","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","44","4","4","70%","-3.6%","1","70","1","1","0","0","9","0","1","8","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","1","1","45%","+42.1%","1","69","1","0","0","0","13","0","0","13","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","6","0","0","21%","-18%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","12%","+3.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","5%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","3","-4","-4","54%","+3.6%","1","69","1","1","0","0","14","0","4","10","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","13","-6","-6","81%","+19.4%","1","69","1","1","0","0","12","0","5","7","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","16","-9","-9","73%","+20.1%","1","69","1","0","0","0","16","0","11","5","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","9","-17","-17","60%","+0.7%","1","2","0","1","1","0","19","0","7","12","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","21","-20","-20","45%","-7.2%","1","1","0","0","1","0","20","0","5","15","0","0","0","0","0","0","0"
