"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060kp*","Valtteri Bottas","null","null","17","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","37","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","28","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ko*","Max Verstappen","null","null","51","0","0","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","30","0","0","94%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","7","0","0","94%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","9","0","0","94%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","25","0","0","94%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","19","0","0","94%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","9","0","0","88%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","33","0","0","88%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","36","0","0","88%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","12","0","0","88%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","3","0","0","88%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","6","0","0","76%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","13","0","0","71%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","8","0","0","71%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","11","0","0","71%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","7","0","0","71%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","4","0","0","53%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","27%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","20%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","20%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
