"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","59","42","21","-","-","2","95","1","1","0","0","1","0","0","1","1","1","0","0","1","0","0"
"*060kq*","Sergio Perez","null","null","49","36","18","-","-","2","95","1","0","0","0","3","12","0","15","1","0","0","0","2","0","0"
"*060l1*","George Russell","null","null","32","29","14.5","-","-","2","95","1","1","0","0","7","4","0","11","1","1","0","0","8","7","0"
"*060kw*","Fernando Alonso","null","null","44","27","13.5","-","-","2","95","1","1","0","0","5","2","0","7","1","0","0","0","5","2","0"
"*060kr*","Charles Leclerc","null","null","30","18","9","-","-","2","95","1","1","0","0","2","0","0","2","1","0","0","0","12","0","6"
"*060ks*","Lando Norris","null","null","16","16","8","-","-","2","95","1","1","0","0","4","0","0","4","1","1","0","0","9","0","6"
"*060kt*","Carlos Sainz","null","null","29","16","8","-","-","2","95","1","0","0","0","6","0","3","3","1","1","0","0","3","2","0"
"*060l5*","Zhou Guanyu","null","null","14","14","7","-","-","2","94","1","1","0","0","12","5","0","17","1","1","0","0","19","0","3"
"*06806*","Logan Sargeant","null","null","6","14","7","-","-","2","94","1","0","0","0","13","5","0","18","1","0","0","0","18","2","0"
"*060kz*","Lance Stroll","null","null","19","11","5.5","-","-","2","95","1","0","0","0","9","0","3","6","1","1","0","0","4","4","0"
"*060n6*","Nyck de Vries","null","null","7","8","4","-","-","2","94","1","1","0","0","17","3","0","20","1","0","0","0","17","0","3"
"*060kn*","Lewis Hamilton","null","null","38","6","3","-","-","2","95","1","0","0","0","8","0","3","5","1","0","0","0","10","8","0"
"*060kx*","Esteban Ocon","null","null","11","6","3","-","-","2","94","1","0","0","0","14","0","2","12","1","1","0","0","7","2","0"
"*060l4*","Alexander Albon","null","null","8","3","1.5","-","-","2","95","1","1","0","0","11","0","1","10","1","1","0","0","13","0","2"
"*060mt*","Kevin Magnussen","null","null","9","3","1.5","-","-","2","94","1","1","0","0","18","1","0","19","1","0","0","0","14","0","4"
"*060kv*","Pierre Gasly","null","null","22","1","0.5","-","-","2","95","1","1","0","0","10","0","1","9","1","0","0","0","15","0","3"
"*060n1*","Oscar Piastri","null","null","4","1","0.5","-","-","2","94","1","0","0","0","16","0","3","13","1","0","0","0","11","6","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","13","-1","-0.5","-","-","2","94","1","0","0","0","15","0","1","14","1","0","0","0","20","0","1"
"*060l0*","Yuki Tsunoda","null","null","17","-5","-2.5","-","-","2","94","1","0","0","0","19","0","3","16","1","1","0","0","16","0","3"
"*060n7*","Nico Hulkenberg","null","null","3","-14","-7","-","-","2","36","0","0","1","0","20","0","12","8","1","1","0","0","6","0","2"
