"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060kq*","Sergio Perez","null","null","47","47","23.5","-","-","2","68","1","1","0","0","1","2","0","3","1","1","0","0","1","1","0"
"*060kw*","Fernando Alonso","null","null","41","30","15","-","-","2","68","1","1","0","0","4","2","0","6","1","1","0","0","6","2","0"
"*060ko*","Max Verstappen","null","null","54","28","14","-","-","2","68","1","0","0","0","2","0","0","2","1","0","0","0","3","0","0"
"*060kr*","Charles Leclerc","null","null","24","26","13","-","-","2","68","1","1","0","0","3","0","2","1","1","1","0","0","2","0","1"
"*060kv*","Pierre Gasly","null","null","18","22","11","-","-","2","68","1","1","0","0","14","5","0","19","1","1","0","0","13","6","0"
"*060l1*","George Russell","null","null","25","21","10.5","-","-","2","68","1","0","0","0","8","3","0","11","1","1","0","0","4","0","0"
"*060mt*","Kevin Magnussen","null","null","19","20","10","-","-","2","68","1","1","0","0","13","5","0","18","1","1","0","0","11","3","0"
"*060kt*","Carlos Sainz","null","null","27","16","8","-","-","2","68","1","0","0","0","5","0","1","4","1","0","0","0","5","0","0"
"*060kz*","Lance Stroll","null","null","17","16","8","-","-","2","68","1","0","0","0","7","2","0","9","1","0","0","0","8","1","0"
"*060kn*","Lewis Hamilton","null","null","35","14","7","-","-","2","68","1","1","0","0","6","0","1","5","1","0","0","0","7","0","1"
"*060l4*","Alexander Albon","null","null","4","9","4.5","-","-","2","68","1","1","0","0","12","1","0","13","1","1","0","0","9","0","2"
"*060n1*","Oscar Piastri","null","null","6","4","2","-","-","2","68","1","0","0","0","11","0","1","10","1","1","0","0","10","1","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","8","-1","-0.5","-","-","2","67","1","0","0","0","17","0","0","17","1","0","0","0","15","0","3"
"*06806*","Logan Sargeant","null","null","14","-1","-1","-","-","1","51","1","0","0","0","16","0","1","15","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","12","-2","-1","-","-","2","67","1","1","0","0","18","0","4","14","1","0","0","0","16","1","0"
"*060ks*","Lando Norris","null","null","13","-2","-1","-","-","2","68","1","1","0","0","9","0","2","7","1","0","0","0","17","0","7"
"*060n6*","Nyck de Vries","null","null","11","-2","-1","-","-","2","26","0","0","1","0","20","0","0","20","1","1","0","0","14","6","0"
"*060l0*","Yuki Tsunoda","null","null","21","-5","-2.5","-","-","2","53","1","1","0","0","10","0","2","8","0","0","1","0","19","0","1"
"*060l5*","Zhou Guanyu","null","null","7","-9","-4.5","-","-","2","53","0","0","1","0","19","0","3","16","1","1","0","0","12","4","0"
"*060kx*","Esteban Ocon","null","null","3","-9","-4.5","-","-","2","68","1","0","0","0","15","0","3","12","1","0","0","0","18","0","5"
