"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","64","29","29","92%","-1.4%","1","53","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","32","24","24","96%","+10.2%","1","53","1","1","0","0","2","1","0","3","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","45","18","18","58%","-7.5%","1","53","1","1","0","0","5","2","0","7","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","29","16","16","69%","-9.5%","1","53","1","1","0","0","4","0","0","4","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","9","16","16","57%","+2%","1","53","1","1","0","0","9","5","0","14","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","14","14","14","97%","+1.4%","1","53","1","0","0","0","3","0","1","2","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","12","14","14","50%","-2.7%","1","52","1","1","0","0","13","6","0","19","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","39","12","12","65%","-10.9%","1","53","1","1","0","0","8","2","0","10","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","4","12","12","49%","-2.7%","1","52","1","1","0","0","14","4","0","18","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","30","9","9","95%","0%","1","53","1","0","0","0","6","0","0","6","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","31","9","9","82%","-10.9%","1","53","1","0","0","0","7","1","0","8","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","22","6","6","42%","-4.1%","1","53","1","0","0","0","10","2","0","12","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","3","1","1","78%","0%","1","52","1","0","0","0","15","0","0","15","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","25%","+2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","15","0","0","13%","-0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","12%","+2.3%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","7%","+0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","6","-4","-4","46%","-2%","1","22","0","0","1","0","17","3","0","20","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","8","-5","-5","79%","-1.4%","1","52","1","0","0","0","12","0","3","9","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","18","-12","-12","68%","-3.4%","1","20","0","0","1","0","18","0","1","17","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","13","-13","-13","90%","+1.4%","1","26","0","1","1","0","16","0","3","13","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","11","-18","-18","63%","-12.2%","1","7","0","0","1","0","20","0","4","16","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","48","-20","-20","73%","+2%","1","15","0","0","1","0","19","0","14","5","0","0","0","0","0","0","0"
