"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","56","29","29","94%","-2.4%","1","78","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","45","22","22","87%","+7.1%","1","78","1","1","0","0","2","0","0","2","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","13","21","21","79%","+11.1%","1","78","1","1","0","0","3","1","0","4","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","36","20","20","54%","-7.9%","1","78","1","1","0","0","4","2","0","6","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","28","17","17","82%","-9.5%","1","78","1","0","0","0","5","3","0","8","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","12","12","12","82%","-9.5%","1","77","1","1","0","0","11","4","0","15","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","6","11","11","53%","-12.8%","1","77","1","0","0","0","13","6","0","19","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","48","9","9","81%","-11.9%","1","76","1","0","0","0","16","4","0","20","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","14","8","8","71%","-0.8%","1","77","1","1","0","0","9","1","0","10","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","25","7","7","55%","-7.9%","1","78","1","0","0","0","7","0","0","7","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","26","6","6","79%","-3.2%","1","78","1","1","0","0","6","0","3","3","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","7","6","6","58%","-15.1%","1","76","1","1","0","0","17","1","0","18","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","4","4","4","56%","+2.4%","1","77","1","0","0","0","10","1","0","11","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","9","4","4","38%","-8.7%","1","77","1","1","0","0","12","0","0","12","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","3","2","2","77%","-15.1%","1","77","1","1","0","0","14","0","1","13","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","13%","-1.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","4%","-1.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","4%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","27","-1","-1","94%","-0.8%","1","78","1","0","0","0","8","0","3","5","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","16","-3","-3","62%","-12.7%","1","70","1","0","0","0","19","0","2","17","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","8","-3","-3","46%","-19%","1","76","1","0","0","0","18","0","2","16","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","19","-9","-9","72%","-6.3%","1","76","1","0","0","0","15","0","6","9","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","11","-20","-20","81%","-8.7%","1","53","0","0","1","0","20","0","6","14","0","0","0","0","0","0","0"
