"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","57","29","29","95%","-3.1%","1","70","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","27","26","26","69%","-6.1%","1","70","1","1","0","0","4","7","0","11","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","43","24","24","76%","-4.6%","1","70","1","1","0","0","2","1","0","3","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","39","21","21","68%","+9.9%","1","70","1","1","0","0","3","1","0","4","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","49","19","19","75%","+1.5%","1","70","1","0","0","0","6","6","0","12","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","28","17","17","80%","-15.3%","1","70","1","0","0","0","5","3","0","8","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","6","16","16","77%","+2.3%","1","70","1","1","0","0","7","3","0","10","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","9","15","15","86%","+16%","1","70","1","1","0","0","10","5","0","15","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","17","11","11","98%","+8.4%","1","70","1","0","0","0","9","4","0","13","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","25","11","11","56%","-3.8%","1","70","1","0","0","0","12","5","0","17","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","12","9","9","52%","-11.5%","1","69","1","0","0","0","16","4","0","20","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","21","8","8","76%","+4.6%","1","70","1","1","0","0","14","2","0","16","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","13","4","4","65%","-3%","1","70","1","1","0","0","8","0","2","6","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","8","1","1","43%","-4.6%","1","69","1","0","0","0","18","0","0","18","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","4","0","0","62%","-6.1%","1","70","1","1","0","0","11","0","2","9","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","10%","+0.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","5%","+0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","4%","+0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","3%","+0.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","16","-5","-5","67%","+3.1%","1","69","1","0","0","0","17","0","3","14","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","7","-6","-6","73%","+1.5%","1","69","1","1","0","0","15","0","13","2","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","11","-9","-9","66%","-10.7%","1","70","1","0","0","0","13","0","6","7","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","3","-12","-12","54%","+3.1%","1","6","0","0","1","0","20","0","1","19","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","32","-20","-20","92%","+9.9%","1","53","0","0","1","0","19","0","14","5","0","0","0","0","0","0","0"
