"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","64","31","31","94%","+1.4%","1","51","1","1","0","0","1","1","0","2","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","51","25","25","74%","+2.8%","1","51","1","0","0","0","2","3","0","5","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","28","15","15","92%","+17.9%","1","51","1","1","0","0","3","0","2","1","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","16","13","13","68%","-4.8%","1","51","1","1","0","0","10","4","0","14","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","43","13","13","61%","-5.5%","1","51","1","0","0","0","6","2","0","8","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","32","12","12","87%","-4.8%","1","51","1","1","0","0","5","0","1","4","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","29","11","11","71%","+6.9%","1","51","1","0","0","0","4","0","1","3","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","26","10","10","90%","-6.2%","1","51","1","1","0","0","8","1","0","9","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","22","9","9","71%","-2.8%","1","51","1","0","0","0","16","4","0","20","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","13","8","8","92%","+2.1%","1","51","1","1","0","0","7","0","1","6","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","42","8","8","71%","+3.4%","1","51","1","1","0","0","9","1","0","10","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","19","8","8","53%","+3.4%","1","51","1","1","0","0","15","2","0","17","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","12","5","5","50%","-2.1%","1","51","1","0","0","0","14","2","0","16","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","4","5","5","50%","+1.4%","1","51","1","0","0","0","13","2","0","15","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","6","3","3","70%","+2.1%","1","50","1","0","0","0","18","1","0","19","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","24%","+3.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","15","0","0","16%","-9.2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","9%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","8%","+1.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","2%","-0.9%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","3","-4","-4","46%","+2.1%","1","50","1","1","0","0","17","0","4","13","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","7","-9","-9","95%","-1.4%","1","51","1","0","0","0","12","0","5","7","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","8","-12","-12","48%","-4.8%","1","39","0","0","1","0","19","0","1","18","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","11","-20","-20","79%","-2.1%","1","0","0","0","1","0","20","0","9","11","0","0","0","0","0","0","0"
