"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","51","29","29","96%","-2.1%","1","50","1","0","0","0","2","13","0","15","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","37","29","29","94%","-2%","1","50","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","30","19","19","100%","+2.2%","1","50","1","1","0","0","3","0","0","3","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","33","17","17","68%","-1.6%","1","50","1","0","0","0","5","3","0","8","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","25","16","16","85%","+0.3%","1","50","1","1","0","0","4","0","0","4","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","7","14","14","79%","+2.8%","1","50","1","1","0","0","11","5","0","16","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","4","12","12","70%","+11.5%","1","50","1","1","0","0","16","4","0","20","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","9","11","11","91%","-4.2%","1","50","1","1","0","0","10","3","0","13","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","28","10","10","89%","-6.1%","1","50","1","1","0","0","6","0","1","5","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","6","9","9","70%","+2.7%","1","50","1","0","0","0","14","4","0","18","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","11","6","6","68%","-8.1%","1","50","1","1","0","0","8","0","1","7","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","12","5","5","79%","-4%","1","50","1","0","0","0","17","2","0","19","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","13","5","5","74%","+0.5%","1","50","1","0","0","0","9","1","0","10","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","8","2","2","74%","-8.2%","1","50","1","1","0","0","13","0","1","12","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","32%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","20","0","0","10%","-17%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","5%","-17.4%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","2%","-7.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","7","-1","-1","70%","-21.1%","1","50","1","0","0","0","12","0","1","11","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","36","-3","-3","66%","-16.7%","1","50","1","0","0","0","7","0","5","2","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","3","-6","-6","79%","-1.6%","1","50","1","1","0","0","15","0","6","9","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","17","-7","-7","94%","-4.2%","1","49","1","0","0","0","18","0","4","14","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","9","-14","-14","96%","+2.2%","1","27","0","0","1","0","19","0","2","17","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","19","-20","-20","98%","+10.9%","1","16","0","0","1","0","20","0","14","6","0","0","0","0","0","0","0"
