"ID","Player","Team","Position","Salary","FPts","FP/G","Ros %","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060kt*","Carlos Sainz","null","null","30","29","29","95%","+2.2%","1","62","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","28","26","26","86%","-4%","1","62","1","1","0","0","2","2","0","4","0","0","0","0","0","0","0"
"*060ko*","Max Verstappen","null","null","63","24","24","93%","-0.7%","1","62","1","1","0","0","5","6","0","11","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","44","23","23","66%","+6.3%","1","62","1","1","0","0","3","2","0","5","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","22","22","22","47%","-5.3%","1","62","1","1","0","0","6","6","0","12","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","11","17","17","95%","0%","1","62","1","0","0","0","7","10","0","17","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","50","15","15","71%","-2.7%","1","62","1","0","0","0","8","5","0","13","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","13","14","14","53%","+3.6%","1","62","1","1","0","0","12","7","0","19","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","27","11","11","79%","+9%","1","62","1","0","0","0","4","0","1","3","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","14","10","10","88%","-4.1%","1","62","1","1","0","0","11","3","0","14","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","6","9","9","47%","-2.6%","1","62","1","0","0","0","14","4","0","18","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","19","0","0","71%","+0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","23%","-0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","15","0","0","14%","-0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","10%","+0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","6%","-1.5%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","4","-3","-3","77%","+7.5%","1","62","1","1","0","0","10","0","4","6","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","3","-7","-7","52%","+6.8%","1","62","1","0","0","0","13","0","4","9","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","31","-9","-9","93%","+6.9%","1","61","1","0","0","0","16","0","14","2","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","40","-9","-9","75%","+5.5%","1","62","1","0","0","0","15","0","8","7","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","12","-12","-12","75%","+8.2%","1","51","0","0","1","0","17","0","1","16","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","9","-18","-18","80%","+1.4%","1","0","0","0","1","0","19","0","4","15","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","7","-20","-20","55%","+7%","1","42","0","0","1","0","18","0","10","8","0","0","0","0","0","0","0"
