"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060n1*","Oscar Piastri","null","null","17","43","21.5","-","-","2","76","1","1","0","0","2","4","0","6","1","1","0","0","1","0","0"
"*060ko*","Max Verstappen","null","null","65","42","21","-","-","2","76","1","1","0","0","1","0","0","1","1","1","0","0","2","1","0"
"*060ks*","Lando Norris","null","null","34","34","17","-","-","2","76","1","0","0","0","3","7","0","10","1","0","0","0","3","0","1"
"*060mt*","Kevin Magnussen","null","null","7","22","11","-","-","2","75","1","1","0","0","14","5","0","19","1","1","0","0","13","6","0"
"*060l1*","George Russell","null","null","33","22","11","-","-","2","76","1","1","0","0","4","0","2","2","1","1","0","0","4","0","0"
"*060l4*","Alexander Albon","null","null","14","18","9","-","-","2","76","1","1","0","0","13","1","0","14","1","1","0","0","7","10","0"
"*060kp*","Valtteri Bottas","null","null","13","17","8.5","-","-","2","76","1","1","0","0","8","1","0","9","1","1","0","0","10","3","0"
"*060kw*","Fernando Alonso","null","null","39","15","7.5","-","-","2","76","1","1","0","0","6","0","2","4","1","1","0","0","8","1","0"
"*060l5*","Zhou Guanyu","null","null","12","15","7.5","-","-","2","76","1","0","0","0","9","11","0","20","1","0","0","0","14","1","0"
"*060kz*","Lance Stroll","null","null","18","13","6.5","-","-","2","76","1","0","0","0","11","6","0","17","1","0","0","0","15","1","0"
"*060kr*","Charles Leclerc","null","null","27","7","3.5","-","-","2","76","1","0","0","0","5","0","0","5","1","0","0","0","12","0","6"
"*060kt*","Carlos Sainz","null","null","28","7","7","-","-","1","19","0","0","0","0","0","0","0","0","1","1","0","0","6","0","1"
"*060l0*","Yuki Tsunoda","null","null","6","4","2","-","-","2","75","1","1","0","0","15","0","4","11","1","1","0","0","11","7","0"
"*060kx*","Esteban Ocon","null","null","9","2","1","-","-","2","67","1","1","0","0","7","1","0","8","0","0","1","0","18","0","8"
"*06ah1*","Felipe Drugovich","null","null","15","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","15","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","21","-2","-1","-","-","2","76","1","0","0","0","12","0","5","7","1","1","0","0","9","2","0"
"*060kq*","Sergio Perez","null","null","46","-2","-1","-","-","2","67","1","0","0","0","10","3","0","13","0","0","1","0","17","0","9"
"*060kn*","Lewis Hamilton","null","null","43","-8","-4","-","-","2","19","0","0","1","0","19","0","16","3","1","0","0","0","5","7","0"
"*060n7*","Nico Hulkenberg","null","null","3","-11","-5.5","-","-","2","67","1","0","0","0","16","0","1","15","0","0","1","0","16","0","9"
"*06806*","Logan Sargeant","null","null","4","-18","-9","-","-","2","42","0","0","1","0","18","0","2","16","0","0","1","0","19","1","0"
