"ID","Player","Team","Position","Salary","FPts","FP/G","Ros","+/-","RC","LPC","F","FT","NC","DQ","PL","PLG","PLL","QP","FS","FTS","NCS","DQS","PLS","PLGS","PLLS"
"*060ko*","Max Verstappen","null","null","69","29","29","89%","-2%","1","58","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"*060kq*","Sergio Perez","null","null","47","23","23","74%","+0.7%","1","58","1","0","0","0","4","5","0","9","0","0","0","0","0","0","0"
"*060kr*","Charles Leclerc","null","null","23","22","22","74%","-4%","1","58","1","1","0","0","2","0","0","2","0","0","0","0","0","0","0"
"*060l1*","George Russell","null","null","30","21","21","83%","+2.7%","1","58","1","1","0","0","3","1","0","4","0","0","0","0","0","0","0"
"*060ks*","Lando Norris","null","null","36","14","14","93%","+9.4%","1","58","1","1","0","0","5","0","0","5","0","0","0","0","0","0","0"
"*060kw*","Fernando Alonso","null","null","38","10","10","74%","-12.1%","1","58","1","1","0","0","7","0","0","7","0","0","0","0","0","0","0"
"*06806*","Logan Sargeant","null","null","6","9","9","48%","-8.1%","1","58","1","0","0","0","16","4","0","20","0","0","0","0","0","0","0"
"*060ku*","Daniel Ricciardo","null","null","14","9","9","42%","-2.7%","1","58","1","0","0","0","11","4","0","15","0","0","0","0","0","0","0"
"*060kz*","Lance Stroll","null","null","18","8","8","80%","+0.7%","1","58","1","0","0","0","10","3","0","13","0","0","0","0","0","0","0"
"*060l5*","Zhou Guanyu","null","null","12","8","8","50%","-0.7%","1","58","1","1","0","0","17","2","0","19","0","0","0","0","0","0","0"
"*060kn*","Lewis Hamilton","null","null","42","7","7","57%","-1.3%","1","58","1","0","0","0","9","2","0","11","0","0","0","0","0","0","0"
"*060l4*","Alexander Albon","null","null","16","4","4","79%","-10.1%","1","58","1","1","0","0","14","0","0","14","0","0","0","0","0","0","0"
"*060l0*","Yuki Tsunoda","null","null","11","4","4","70%","+4%","1","58","1","1","0","0","8","0","2","6","0","0","0","0","0","0","0"
"*060kx*","Esteban Ocon","null","null","8","4","4","57%","+11.4%","1","58","1","1","0","0","12","0","0","12","0","0","0","0","0","0","0"
"*060n1*","Oscar Piastri","null","null","15","3","3","93%","+4%","1","58","1","0","0","0","6","0","3","3","0","0","0","0","0","0","0"
"*060n6*","Nyck de Vries","null","null","5","0","0","22%","-2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l3*","Mick Schumacher","null","null","5","0","0","12%","-0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060l2*","Nicholas Latifi","null","null","10","0","0","4%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ah1*","Felipe Drugovich","null","null","10","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*060kp*","Valtteri Bottas","null","null","7","-1","-1","71%","-8.7%","1","57","1","0","0","0","19","0","1","18","0","0","0","0","0","0","0"
"*060kt*","Carlos Sainz","null","null","32","-3","-3","81%","-4%","1","57","1","0","0","0","18","0","2","16","0","0","0","0","0","0","0"
"*060mt*","Kevin Magnussen","null","null","4","-5","-5","64%","-6.7%","1","57","1","0","0","0","20","0","3","17","0","0","0","0","0","0","0"
"*060kv*","Pierre Gasly","null","null","20","-5","-5","42%","-4%","1","58","1","0","0","0","13","0","3","10","0","0","0","0","0","0","0"
"*060n7*","Nico Hulkenberg","null","null","3","-6","-6","40%","-8.7%","1","58","1","1","0","0","15","0","7","8","0","0","0","0","0","0","0"
